id,preferred_name,alternative_names,category,description
http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,teach,teach housekeeping|teach housekeeping skills|housekeeping|housekeeping skills|housekeeping skills teach,general,
http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,check,check train|check train engines|train|train engines|train engines check,general,
http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,influence,influence public|influence public policies|public|public policies|public policies lobbying,general,
http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,enterprise,enterprise risk|enterprise risk management|risk|risk management|risk management ERM,general,
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,manufacture,manufacture ingredients|manufacture ingredients ingredients|ingredients|ingredients ingredients|ingredients ingredients manufacture,general,
http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,maintain,maintain aquaculture|maintain aquaculture ponds|aquaculture|aquaculture ponds|aquaculture ponds aquaculture,general,"Drain and clean aquaculture ponds using brushes, chemicals, and water.  Prepare holding containers for fish and change the nets.  Conduct swimthroughs.  Stock fish in holding units.  Collect dead fish in holding units."
http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,apply credit,apply|apply credit risk|credit|credit risk|credit risk policy,general,Permanently keep company's credit risk at a manageable level and take measures to avoid credit failure.
http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,handle,handle customer|handle customer requests|customer|customer requests|customer requests related,general,
http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,draft,draft scientific|draft scientific or|scientific|scientific or|scientific or academic,general,
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,incremental,incremental development|incremental development gradual|development|development gradual|development gradual development,general,
http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203,use of,use|use of special|of special|of special equipment|special,general,
http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,sawing,sawing techniques|sawing techniques sawing|techniques|techniques sawing|techniques sawing technologies,general,
http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,produce,produce guitar|produce guitar components|guitar|guitar components|guitar components build,general,
http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,operate,operate agricultural|operate agricultural machinery|agricultural|agricultural machinery|agricultural machinery farm,general,
http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,control,control pyrotechnics|control pyrotechnics stock|pyrotechnics|pyrotechnics stock|pyrotechnics stock pyrotechnics,general,Place them into special metal containers for further processing.
http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,guarantee,guarantee customer|guarantee customer satisfaction|customer|customer satisfaction|customer satisfaction ensure,general,Provide flexible customer service to ensure customer satisfaction and loyalty.
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,manufacture,manufacture wearing|manufacture wearing apparel|wearing|wearing apparel|wearing apparel products,general,"Assemble wearing apparel components using stitches, seams such as collars, sleeves, top fronts, top backs, pockets."
http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,cure,cure tobacco|cure tobacco leaves|tobacco|tobacco leaves|tobacco leaves cure,general,
http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,develop a,develop|develop a rehabilitation|a rehabilitation|a rehabilitation programme|rehabilitation,design,
http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,maintain,maintain inventory|maintain inventory of|inventory|inventory of|inventory of cleaning,general,
http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,cold,cold vulcanisation|cold vulcanisation using|vulcanisation|vulcanisation using|vulcanisation using vulcanising,general,
http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,supervise,supervise housekeeping|supervise housekeeping operations|housekeeping|housekeeping operations|housekeeping operations oversee,management,
http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,act,act as|act as contact|as contact|as contact person|contact,general,Participate in the investigation by providing insights.
http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,manage time,manage|manage time in|time|time in|time in landscaping,management,
http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,advise,advise on|advise on customs|on customs|on customs regulations|customs,general,
http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,manage university,manage|manage university department|university|university department|university department managing,management,
http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,develop terminology,develop|develop terminology databases|terminology|terminology databases|terminology databases define,design,
http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,repair,repair electric|repair electric bicycles|electric|electric bicycles|electric bicycles repair,technical,"Check for damage and malfunctions and determine the cause.  Dismantle and repair bicycle components, such as add-on drives, switching systems, power supply systems and lightning systems.  Adjust mechanical and electronic switchgear, drives, brake systems and chassis components.  Check the bicycle's operating fluids and see if it needs refills or changes."
http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,maintain,maintain sorting|maintain sorting equipment|sorting|sorting equipment|sorting equipment sorting,general,
http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,explain,explain features|explain features in|features|features in|features in accommodation,general,
http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,types,types of|types of barley|of barley|of barley barley|barley,general,
http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,KDevelop kdevplatform|KDevelop kdevplatform KDevelop|kdevplatform|kdevplatform KDevelop|kdevplatform KDevelop platform,programming,It is developed by the software community KDE.
http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,purchase,purchase vehicle|purchase vehicle parts|vehicle|vehicle parts|vehicle parts oversee,general,
http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,inspect,inspect offshore|inspect offshore constructions|offshore|offshore constructions|offshore constructions evaluate,general,
http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,adjust,adjust envelope|adjust envelope cutting|envelope|envelope cutting|envelope cutting settings,general,"Prepare this by gumming on the blank with a dry patch and on the window material during its conveyance.  Adjust on the basis of window, gum, and patch position and level of evenness."
http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,prepare oils,prepare|prepare oils arrange|oils|oils arrange|oils arrange oils,general,
http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,purchase,purchase supplies|purchase supplies pay|supplies|supplies pay|supplies pay for,general,
http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,pursue,pursue excellence|pursue excellence in|excellence|excellence in|excellence in the,general,
http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf,maintain,maintain personal|maintain personal hygiene|personal|personal hygiene|personal hygiene standards,general,
http://data.europa.eu/esco/skill/0165e6c7-14d9-47f6-a882-565f8da14526,water,water skiing|water skiing waterski|skiing|skiing waterski|skiing waterski The,technical,"Knowledge of the equipment needed for this high-speed water surface sport such as the tow rope, boat, wetsuits, and the ski boards."
http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3,liaise,liaise with|liaise with typists|with|with typists|with typists cooperate,general,for them to type the final documents.
http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2,assess,assess railway|assess railway operations|railway|railway operations|railway operations appraise,general,
http://data.europa.eu/esco/skill/016e7bf4-fe86-4a1f-ace1-54e5b697293d,practise,practise extreme|practise extreme sports|extreme|extreme sports|extreme sports participate,general,
http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,adopt,adopt ways|adopt ways to|ways|ways to|ways to foster,general,
http://data.europa.eu/esco/skill/0174a9e6-bf12-4ac3-bfc3-0a5469410f18,provide,provide chaperone|provide chaperone for|chaperone|chaperone for|chaperone for children,general,
http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5,organise,organise labour|organise labour organize|labour|labour organize|labour organize labor,technical,Organise production programmes and plan the production and sales.  Purchase materials and equipment.  Manage stocks.
http://data.europa.eu/esco/skill/017738e7-7d12-4e87-a580-8523405bab96,use glass,use|use glass engraving|glass|glass engraving|glass engraving tools,general,
http://data.europa.eu/esco/skill/017d3b78-ebfa-431d-acc5-8050e9b0fdc8,operate,operate wrecking|operate wrecking ball|wrecking|wrecking ball|wrecking ball demolish,general,Hoist the wrecking ball into the air with a crane.  Drop the ball or swing it in a controlled manner to hit the structure.  Prevent misses as the weight and momentum of the ball may destabilise the crane.
http://data.europa.eu/esco/skill/018164df-2814-4926-bdf7-398d86b9dfe6,evaluate,evaluate garment|evaluate garment quality|garment|garment quality|garment quality evaluate,general,
http://data.europa.eu/esco/skill/01819474-b960-4b8f-b020-2da26518d43a,apply for,apply|apply for refunds|for|for refunds|for refunds apply,general,
http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,perform a,perform|perform a feasibility|a feasibility|a feasibility study|feasibility,general,"Realise a standardised study to determine the energy saving contribution, costs and restrictions, and conduct research to support the process of decision making."
http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb,Absorb (learning|Absorb (learning management|(learning|(learning management|(learning management systems),general,
http://data.europa.eu/esco/skill/0194a8eb-c262-411a-ad3f-f3d587630562,peform,peform small|peform small vessel|small|small vessel|small vessel administrative,general,"Plan provisioning, receipt and stowage.  Release the ship in accordance with current regulations."
http://data.europa.eu/esco/skill/0196d283-9b1a-43a5-b219-43580c7cf560,cosmetics,cosmetics ingredients|cosmetics ingredients cosmetics|ingredients|ingredients cosmetics|ingredients cosmetics additives,general,
http://data.europa.eu/esco/skill/01a6e6ae-32d5-440a-bdb3-c9ed8a1f57c0,human,human dynamics|human dynamics as|dynamics|dynamics as|dynamics as part,general,
http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,advise,advise on|advise on construction|on construction|on construction materials|construction,general,
http://data.europa.eu/esco/skill/01c4bbed-0449-44c9-9c05-48c30ffdcc22,maintain,maintain rotating|maintain rotating equipment|rotating|rotating equipment|rotating equipment replace,general,
http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,develop blockchain,develop|develop blockchain innovative|blockchain|blockchain innovative|blockchain innovative architectures,design,Argue the advantages and shortcomings of such new architectures with respect to existing ones.
http://data.europa.eu/esco/skill/01d3d692-dcba-4544-82d2-fc27726bdbbc,pump,pump products|pump products for|products|products for|products for storage,general,
http://data.europa.eu/esco/skill/01d80f57-3906-44e9-8592-fd1bd8a35808,medico-biological,medico-biological and|medico-biological and medical|and|and medical|and medical sciences,general,
http://data.europa.eu/esco/skill/01e5d2e2-d368-4fb9-9be9-9923146482c4,attend,attend to|attend to detail|to detail|to detail in|detail,general,
http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8,biomedical,biomedical science|biomedical science principles|science|science principles|science principles of,general,Medical sciences such as medical microbiology and clinical virology apply biology principles for medical knowledge and invention.
http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba,keep,keep up|keep up to|up to|up to date|to date,general,
http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,write,write Hungarian|write Hungarian correspond|Hungarian|Hungarian correspond|Hungarian correspond in,general,
http://data.europa.eu/esco/skill/01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,monitor,monitor drilling|monitor drilling fluid|drilling|drilling fluid|drilling fluid drilling,general,"Add different chemicals to the fluid to perform various function in well operations: keep the drill bit cool, provide hydrostatic pressure, etc."
http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750,develop efficiency,develop|develop efficiency plans|efficiency|efficiency plans|efficiency plans for,design,
http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,tend,tend packaging|tend packaging machines|packaging|packaging machines|packaging machines mind,general,"Stock and sort products to be processed according to specifications.  Replenish packaging supplies as required, such as boxes, cartons, wrapping paper, plastic sheet, glue, ink, or labels."
http://data.europa.eu/esco/skill/01ffbbf3-0c62-45e0-92d9-01a86dc7c81d,advise,advise on|advise on clay|on clay|on clay products|clay,general,
http://data.europa.eu/esco/skill/0200e5e6-218d-4dae-b1ab-250382250ecb,maintain,maintain drilling|maintain drilling equipment|drilling|drilling equipment|drilling equipment mend,general,
http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5,control,control tree|control tree diseases|tree|tree diseases|tree diseases diseased,general,Remove them using power saws or hand saws.
http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,network,network engineering|network engineering network|engineering|engineering network|engineering network architecture,general,
http://data.europa.eu/esco/skill/0207f83d-a1e4-4b47-b80c-84d41257791f,analyse,analyse the|analyse the artistic|the|the artistic|the artistic concept,analysis,Create a structured base for the design process of a specific production.
http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrate,migrate existing|migrate existing data|existing|existing data|existing data drift,general,
http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,manage supplies,manage|manage supplies plan|supplies|supplies plan|supplies plan supplies,management,Manage supply chain activities and synchronise supply with demand of production and customer.
http://data.europa.eu/esco/skill/02137a68-6860-45e8-8e4d-38db467bb8b6,human,human factors|human factors regarding|factors|factors regarding|factors regarding safety,general,
http://data.europa.eu/esco/skill/021c8a09-6b8d-4708-a5dd-17677e846640,understand,understand spoken|understand spoken Luxembourgish|spoken|spoken Luxembourgish|spoken Luxembourgish comprehend,general,
http://data.europa.eu/esco/skill/021cf226-3dac-4712-9738-24bf0952c064,perform roof,perform|perform roof maintenance|roof|roof maintenance|roof maintenance roof,general,
http://data.europa.eu/esco/skill/0227a4f4-f979-4e5a-bd11-93744f339246,types,types of|types of digesters|of digesters|of digesters type|digesters,general,
http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,define,define database|define database physical|database|database physical|database physical structure,general,"This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary."
http://data.europa.eu/esco/skill/0232e2ee-5535-46e0-9c64-ea80c896c62f,lay,lay stones|lay stones paving|stones|stones paving|stones paving stone,general,
http://data.europa.eu/esco/skill/0234bf2c-0483-4953-be59-edc2fcdd9e4b,assemble,assemble circus|assemble circus rigging|circus|circus rigging|circus rigging equipment,general,
http://data.europa.eu/esco/skill/0238dd62-d407-4a87-ae0c-e08cd7b4ea8d,manage documentation,manage|manage documentation of|documentation|documentation of|documentation of prior,management,"Establish the assessment protocol and develop templates to record the assessment decisions.  Establish a communication plan.  Distribute relevant assessment documents to authorities, clients, or colleagues according to this plan."
http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b,perform oral,perform|perform oral health|oral|oral health|oral health diagnosis,general,
http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f,geomatics,geomatics the|geomatics the study|the|the study|the study of,general,
http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,contamination,contamination exposure|contamination exposure regulations|exposure|exposure regulations|exposure regulations regulations,general,
http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,Maltego The|Maltego The platform|The|The platform|The platform Maltego,general,
http://data.europa.eu/esco/skill/0240c5a8-d8ec-4cd5-948f-4649334c01b8,search,search historical|search historical sources|historical|historical sources|historical sources in,general,
http://data.europa.eu/esco/skill/024910a2-1ee8-4f07-bac6-33b577d9392e,supervise,supervise performers'|supervise performers' fights|performers'|performers' fights|performers' fights arrange,management,Help the performers/dancers internalise the fights sequences and fighting techniques.  Supervise them in action and motivate and help them them achieve their maximum potential.  Make performers them aware of the associated risks.  Get performers to rehearse fights.
http://data.europa.eu/esco/skill/0253b09a-7217-43fc-b62f-e6b23ffebac9,develop script,develop|develop script bible|script|script bible|script bible write,design,
http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,operate,operate radio|operate radio equipment|radio|radio equipment|radio equipment facilitate,technical,"Understand the basics of radio operator language and, when necessary, provide instruction in handling radio equipment correctly."
http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,remove,remove contaminated|remove contaminated materials|contaminated|contaminated materials|contaminated materials contaminated,general,
http://data.europa.eu/esco/skill/026db24f-6972-460b-a784-d34afaf8d498,inspect,inspect paint|inspect paint quality|paint|paint quality|paint quality inspect,general,
http://data.europa.eu/esco/skill/027f47ba-2435-47dc-9fd3-5f05c6a52e93,styles,styles of|styles of boxes|of boxes|of boxes kinds|boxes,general,These are defined by a 4-digit code and specified by the European Federation of Corrugated Board Manufacturers (FEFCO).  The styles are more an example of complicated and special box designs.
http://data.europa.eu/esco/skill/02820870-3b92-480b-8475-8a521563ea3c,collect,collect property|collect property financial|property|property financial|property financial information,general,
http://data.europa.eu/esco/skill/0295b2a4-fb86-495f-9547-d479532fc4c2,trace,trace financial|trace financial transactions|financial|financial transactions|financial transactions trace,general,Determine the validity of the transaction and check for suspicious or high-risk transactions in order to avoid mismanagement.
http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,contribute,contribute to|contribute to quality|to quality|to quality physiotherapy|quality,general,
http://data.europa.eu/esco/skill/02a78cf3-8b31-4911-bcad-c989a1b7ff40,install,install radiators|install radiators build|radiators|radiators build|radiators build convector,technical,Connect the pipes to the central heating system.
http://data.europa.eu/esco/skill/02ae2a55-4b7c-41d2-86ec-9a2a38b73fe6,advise,advise on|advise on care|on care|on care products|care,general,
http://data.europa.eu/esco/skill/02b6350e-433a-42b1-b620-92fc53b9a14d,operate,operate remote|operate remote sensing|remote|remote sensing|remote sensing equipment,general,
http://data.europa.eu/esco/skill/02bbd0fb-b108-49a8-9c48-5b0c447d3fdf,calculate,calculate stairs|calculate stairs rise|stairs|stairs rise|stairs rise and,general,
http://data.europa.eu/esco/skill/02bf9522-bd6e-4482-be03-1827483be21a,first,first aid|first aid for|aid|aid for|aid for animals,general,
http://data.europa.eu/esco/skill/02c1a369-f1e7-4f8e-8882-d7ded57f9cf4,empathise,empathise with|empathise with outdoor|with|with outdoor|with outdoor groups,general,
http://data.europa.eu/esco/skill/02c462b7-b93b-44a7-ba3a-9d3b7a163f51,provide,provide context|provide context to|context|context to|context to news,general,
http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,interpret,interpret circuit|interpret circuit diagrams|circuit|circuit diagrams|circuit diagrams interpret,general,
http://data.europa.eu/esco/skill/02c7caf4-4e8b-4745-8917-dbbd3af17c28,draw,draw up|draw up artistic|up artistic|up artistic production|artistic,general,
http://data.europa.eu/esco/skill/02d5c52b-e7f9-4d8c-adc2-d0332f49535b,install,install passenger|install passenger service|passenger|passenger service|passenger service units,general,
http://data.europa.eu/esco/skill/02d68c2b-1722-4440-8e25-376650e123c8,understand,understand written|understand written Korean|written|written Korean|written Korean understanding,general,
http://data.europa.eu/esco/skill/02e0b3e9-c9e0-4063-983b-b5a7697e0f78,keep,keep records|keep records of|records|records of|records of bridge,general,
http://data.europa.eu/esco/skill/02e1ca57-0715-438b-886d-f0f938ac3efc,sand,sand blasting|sand blasting machine|blasting|blasting machine|blasting machine parts,general,
http://data.europa.eu/esco/skill/02e22093-3436-46a8-8dc5-b041bc4800cc,create model,create|create model design|model|model design|model design model,design,
http://data.europa.eu/esco/skill/02e235f4-a30a-412a-a06e-1c471ad28678,follow,follow procedures|follow procedures to|procedures|procedures to|procedures to control,general,
http://data.europa.eu/esco/skill/02eeea19-76db-4d19-bb8b-a649c0fbe796,assess,assess visual|assess visual impact|visual|visual impact|visual impact of,general,Implement changes where needed.
http://data.europa.eu/esco/skill/02f115d8-9e14-499c-97c1-f9eac282edc5,select,select glassware|select glassware for|glassware|glassware for|glassware for serving,general,
http://data.europa.eu/esco/skill/03006fd3-254f-44bc-aa8f-dfe1c727463e,cardiovascular,cardiovascular system|cardiovascular system anatomy|system|system anatomy|system anatomy and,general,
http://data.europa.eu/esco/skill/0302f93a-0d38-4c00-bc37-eda17b6316ea,biosecurity,biosecurity related|biosecurity related to|related|related to|related to animals,general,
http://data.europa.eu/esco/skill/030de41b-bb8b-4e4b-859c-9afd4c17605b,check,check information|check information on|information|information on|information on prescriptions,general,
http://data.europa.eu/esco/skill/03134e63-81eb-439a-b6eb-7de49ae01bbd,assume,assume responsibility|assume responsibility for|responsibility|responsibility for|responsibility for maintaining,general,
http://data.europa.eu/esco/skill/031bfd8d-af80-4606-b4bb-6de4d5da6249,follow,follow hygienic|follow hygienic practices|hygienic|hygienic practices|hygienic practices in,general,
http://data.europa.eu/esco/skill/03227978-f839-4cc8-88a6-0a3c44d2c776,supervise,supervise work|supervise work on|work|work on|work on design,management,
http://data.europa.eu/esco/skill/032867c3-3c53-42ad-aabe-030eeb6292ab,measure,measure trees|measure trees measure|trees|trees measure|trees measure tree,general,
http://data.europa.eu/esco/skill/0329ab41-3212-4e4f-8112-9e9ff5217f7b,bend,bend staves|bend staves bending|staves|staves bending|staves bending staves,general,
http://data.europa.eu/esco/skill/032a4ab8-1034-4541-8037-b2cdcc7fd19a,select,select music|select music for|music|music for|music for performance,general,"Consider factors such as ensemble abilities, availability of scores and the need for musical variety."
http://data.europa.eu/esco/skill/032b0bed-22b1-456b-8009-91e6b838fe45,geological,geological mapping|geological mapping geological|mapping|mapping geological|mapping geological map,general,
http://data.europa.eu/esco/skill/03305638-bd08-410a-a960-f963ad89cce6,tend,tend electron|tend electron beam|electron|electron beam|electron beam welding,general,
http://data.europa.eu/esco/skill/0332f526-6dc0-4f09-8a7c-2b9473c50736,ensure,ensure infrastructure|ensure infrastructure accessibility|infrastructure|infrastructure accessibility|infrastructure accessibility ensure,general,
http://data.europa.eu/esco/skill/03353964-657a-4737-9afc-1ca9ec04195b,inspect,inspect table|inspect table settings|table|table settings|table settings check,general,
http://data.europa.eu/esco/skill/0337c577-f837-4518-9263-b753c24f3a21,drive,drive automatic|drive automatic car|automatic|automatic car|automatic car driving,general,
http://data.europa.eu/esco/skill/033d6175-fa43-4d75-8e2c-6df348ffa0c8,prepare intravenous,prepare|prepare intravenous packs|intravenous|intravenous packs|intravenous packs make,general,
http://data.europa.eu/esco/skill/03459358-3f0f-4b13-a143-890e2da798d3,configure,configure electronic|configure electronic equipment|electronic|electronic equipment|electronic equipment configuring,general,
http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,Erlang The|Erlang The techniques|The|The techniques|The techniques and,general,
http://data.europa.eu/esco/skill/03500955-88a6-4c3d-a8c0-7594409dcff0,operate,operate specialised|operate specialised equipment|specialised|specialised equipment|specialised equipment in,general,
http://data.europa.eu/esco/skill/03520ff5-9e68-434b-91fa-3ced9c085159,plan,plan retail|plan retail space|retail|retail space|retail space lay,general,
http://data.europa.eu/esco/skill/03589d0d-a6f0-4d68-b5eb-dafbc6833efe,write,write leaflets|write leaflets produce|leaflets|leaflets produce|leaflets produce pamphlets,general,
http://data.europa.eu/esco/skill/03598f35-15f1-41fa-bd8a-313e74523307,use jewellery,use|use jewellery equipment|jewellery|jewellery equipment|jewellery equipment use,general,
http://data.europa.eu/esco/skill/0359f76c-3ef3-4e52-abcf-1b2b32ed20a5,taste,taste wines|taste wines sip|wines|wines sip|wines sip wines,general,
http://data.europa.eu/esco/skill/035afc40-e8fc-448f-b287-1a973fb5aa93,manufacturing,manufacturing of|manufacturing of taps|of taps|of taps and|taps,general,
